,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-9,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9285714285714284,0.8125,0.7272727272727272,0.7083333333333334,0.4545454545454546,0.3111111111111111,0.14754098360655737,0.07792207792207792,0.023622047244094488,0.014492753623188406,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9285714285714284,0.875,0.7727272727272726,0.7916666666666667,0.696969696969697,0.48888888888888893,0.2786885245901639,0.15584415584415584,0.05511811023622047,0.036231884057971016,0.026490066225165563,0.004608294930875576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-7,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9285714285714284,0.875,0.909090909090909,0.8333333333333334,0.8787878787878789,0.7555555555555555,0.47540983606557374,0.2987012987012987,0.11023622047244094,0.08695652173913043,0.026490066225165563,0.004608294930875576,0.004166666666666667,0.00423728813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,0.9375,0.9545454545454544,0.875,0.9393939393939394,0.8222222222222222,0.6229508196721312,0.4935064935064935,0.28346456692913385,0.17391304347826086,0.06622516556291391,0.013824884792626727,0.008333333333333333,0.00423728813559322,0.0,0.0,0.004975124378109453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9166666666666666,0.9696969696969697,0.8888888888888888,0.819672131147541,0.7272727272727273,0.6062992125984252,0.3333333333333333,0.152317880794702,0.041474654377880185,0.029166666666666667,0.00847457627118644,0.004132231404958678,0.0,0.004975124378109453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
-4,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9166666666666666,1.0,1.0,0.9180327868852459,0.8961038961038961,0.8188976377952757,0.6231884057971014,0.2781456953642384,0.10138248847926268,0.0625,0.03389830508474576,0.004132231404958678,0.0,0.004975124378109453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
-3,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9166666666666666,1.0,1.0,0.9672131147540983,0.948051948051948,0.9212598425196852,0.8333333333333333,0.509933774834437,0.28110599078341014,0.14166666666666666,0.0635593220338983,0.012396694214876033,0.0,0.004975124378109453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
-2,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9166666666666666,1.0,1.0,1.0,0.974025974025974,0.9527559055118111,0.9202898550724636,0.8344370860927152,0.6036866359447004,0.3208333333333333,0.1313559322033898,0.06611570247933884,0.008583690987124463,0.014925373134328358,0.009852216748768473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
-1,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9166666666666666,1.0,1.0,1.0,0.987012987012987,0.9921259842519686,0.9637681159420288,0.9470198675496688,0.8156682027649769,0.6666666666666666,0.3305084745762712,0.19421487603305784,0.017167381974248927,0.02487562189054726,0.009852216748768473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9166666666666666,1.0,1.0,1.0,1.0,1.0000000000000002,0.9927536231884057,0.9735099337748344,0.9539170506912442,0.8333333333333333,0.6101694915254237,0.3925619834710744,0.1502145922746781,0.05970149253731343,0.019704433497536946,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
